"filename", "language", "Swift", "JSON", "comment", "blank", "total"
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Assets.xcassets/AccentColor.colorset/Contents.json", "JSON", 0, 11, 0, 1, 12
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 38, 0, 1, 39
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Assets.xcassets/Contents.json", "JSON", 0, 6, 0, 1, 7
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Extensions/RSSFeed+Extension.swift", "Swift", 44, 0, 6, 6, 56
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Extensions/String+Extension.swift", "Swift", 15, 0, 6, 4, 25
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Extensions/View+Extension.swift", "Swift", 17, 0, 6, 3, 26
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/CoreHapticManager/HapticManager.swift", "Swift", 50, 0, 6, 9, 65
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/CoreLocationManager.swift", "Swift", 44, 0, 8, 10, 62
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/ItunesManager/ItunesCallerConstants.swift", "Swift", 319, 0, 6, 8, 333
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/ItunesManager/ItunesManager.swift", "Swift", 163, 0, 8, 50, 221
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/ItunesManager/ItunesModels.swift", "Swift", 242, 0, 6, 17, 265
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/LoggingManager/Logger.swift", "Swift", 103, 0, 6, 16, 125
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/PlayerManager/AVPlayerManager.swift", "Swift", 38, 0, 7, 10, 55
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/PlayerManager/AudioPlayerManager.swift", "Swift", 317, 0, 23, 46, 386
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/PlayerManager/AudioPlayerManagerModel.swift", "Swift", 16, 0, 6, 4, 26
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/PlayerManager/Queue.swift", "Swift", 39, 0, 8, 10, 57
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/PodHubManager/PodHubManager.swift", "Swift", 204, 0, 8, 34, 246
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/PodHubManager/PodHubModel.swift", "Swift", 191, 0, 15, 23, 229
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/PodcastIndexManager/PodcastIndexManager.swift", "Swift", 163, 0, 19, 24, 206
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/PodcastIndexManager/PodcastIndexModel.swift", "Swift", 103, 0, 9, 15, 127
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/RSSFeedManager/RSSFeedGeneratorManager.swift", "Swift", 45, 0, 18, 13, 76
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/RSSFeedManager/RSSFeedGeneratorModel.swift", "Swift", 28, 0, 9, 8, 45
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Managers/SharedStateManager/SharedStateFeature.swift", "Swift", 91, 0, 12, 18, 121
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Other/AppDelegate.swift", "Swift", 31, 0, 8, 10, 49
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Other/InjectionKey.swift", "Swift", 26, 0, 12, 6, 44
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Other/Theme.swift", "Swift", 37, 0, 6, 7, 50
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Preview Content/Preview Assets.xcassets/Contents.json", "JSON", 0, 6, 0, 1, 7
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/RootModule.swift", "Swift", 31, 0, 6, 5, 42
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/Catagory/CategoryDetailsFeature.swift", "Swift", 43, 0, 6, 7, 56
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/Catagory/CategoryDetailsView.swift", "Swift", 39, 0, 6, 3, 48
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/Explore/DataSource/ExploreFeature.swift", "Swift", 109, 0, 6, 8, 123
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/Explore/Presentation/ExploreView.swift", "Swift", 220, 0, 9, 16, 245
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/ExploreSearch/DataSource/ExploreSearchFeature.swift", "Swift", 85, 0, 7, 7, 99
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/ExploreSearch/Presentation/ExploreSearchView.swift", "Swift", 163, 0, 8, 10, 181
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/Home/DataSource/HomeFeature.swift", "Swift", 83, 0, 6, 7, 96
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/Home/Presentation/HomeView.swift", "Swift", 96, 0, 6, 4, 106
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/Player/DataSource/PlayerFeature.swift", "Swift", 97, 0, 7, 6, 110
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/Player/Presentation/PlayerView.swift", "Swift", 160, 0, 6, 11, 177
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/PodcastDetails/DataSource/PodcastDetailsFeature.swift", "Swift", 67, 0, 6, 5, 78
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/PodcastDetails/Presentation/PodcastDetailsView.swift", "Swift", 57, 0, 7, 3, 67
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/Settings/SettingsView.swift", "Swift", 106, 0, 6, 14, 126
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/ShowMorePodcast/ShowMorePodcastView.swift", "Swift", 34, 0, 6, 4, 44
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Views/ListViewCell.swift", "Swift", 88, 0, 6, 8, 102
"/Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Views/ListViewHero.swift", "Swift", 109, 0, 11, 10, 130
"Total", "-", 3913, 61, 333, 483, 4790